sample_id	study	country	samplingSite	ena_accession	collectionDate	samplePreparation	totalBases	basesMapped	basesDuplicated	averageReadLength	averageQuality	basesof1xCoverage	basesof5xCoverage	basesof10xCoverage	basesof50xCoverage	meanCoverage	insertSizeAverage	insertSizeStandardDeviation	PercentCallableGATK	latitude	longitude
PA0007-C	1006	The Gambia	GM_Coastal	ERS010116			2074610304.0	1849037212.0	792743536.0	76.0	33.1	22703916.0	20226914.0	17341168.0	9063212.0	74.27	320.9	68.3	76.58	13.466425	-16.672096
PA0008-C	1006	The Gambia	GM_Coastal	ERS010126			2529943176.0	2302964844.0	413304492.0	76.0	33.3	23160225.0	22873797.0	22241258.0	14633143.0	96.81	339.9	40.2	90.33	13.466425	-16.672096
PA0011-C	1006	The Gambia	GM_Coastal	ERS010043			3707830088.0	3451499872.0	80645044.0	76.0	32.5	22960209.0	22798857.0	22697202.0	21815652.0	149.59	249.8	44.8	90.6	13.466425	-16.672096
PA0012-C	1006	The Gambia	GM_Coastal	ERS010127			2910823712.0	2219976340.0	125521448.0	76.0	32.3	22982697.0	22430685.0	21499677.0	14970548.0	95.02	251.9	84.1	88.97	13.466425	-16.672096
PA0015-C	1006	The Gambia	GM_Coastal	ERS010044			4228662344.0	3910137604.0	122161792.0	76.0	32.1	23002807.0	22866914.0	22784685.0	22157189.0	169.55	255.1	47.2	90.8	13.466425	-16.672096
PA0016-C	1006	The Gambia	GM_Coastal	ERS010045			3995690880.0	3731759904.0	70567520.0	76.0	31.8	23083238.0	22930355.0	22842491.0	22087161.0	160.4	257.2	42.7	91.09	13.466425	-16.672096
PA0017-C	1006	The Gambia	GM_Coastal	ERS010128			5158300120.0	4482080164.0	248697916.0	76.0	32.3	23047506.0	22859973.0	22603203.0	18992797.0	190.26	250.5	86.6	90.81	13.466425	-16.672096
PA0018-C	1006	The Gambia	GM_Coastal	ERS010046			4263213464.0	4008073028.0	143650184.0	76.0	32.8	23051408.0	22925086.0	22842335.0	22205486.0	173.25	257.6	45.5	91.01	13.466425	-16.672096
PA0020-C	1006	The Gambia	GM_Coastal	ERS010047			3924369592.0	3713985404.0	163686444.0	76.0	33.1	23019472.0	22865067.0	22772242.0	22140942.0	160.87	248.3	50.9	90.85	13.466425	-16.672096
PA0021-C	1006	The Gambia	GM_Coastal	ERS010048			3094232536.0	2930259420.0	171885704.0	76.0	33.5	23117121.0	22972867.0	22877726.0	22043528.0	126.38	267.2	49.9	91.21	13.466425	-16.672096
PA0022-C	1006	The Gambia	GM_Coastal	ERS010129			2004743200.0	1780036508.0	347711020.0	76.0	33.7	22779688.0	21098767.0	18873315.0	10975996.0	73.98	340.2	57.5	82.22	13.466425	-16.672096
PA0026-C	1006	The Gambia	GM_Coastal	ERS011006			277122600.0	235634580.0	8916928.0	76.0	31.2	22320946.0	18684253.0	11679428.0	35834.0	10.56	236.3	44.1	72.21	13.466425	-16.672096
PA0027-C	1006	The Gambia	GM_Coastal	ERS010049			3083487656.0	2947551396.0	158247124.0	76.0	33.1	23106509.0	22952441.0	22845092.0	22064625.0	127.09	260.6	49.0	91.14	13.466425	-16.672096
PA0029-C	1006	The Gambia	GM_Coastal	ERS010038			3753015736.0	3476524392.0	83788100.0	76.0	32.5	23038277.0	22866041.0	22766939.0	22135615.0	150.24	260.7	45.6	90.89	13.466425	-16.672096
PA0030-C	1006	The Gambia	GM_Coastal	ERS009726			4458636368.0	4104278236.0	101106600.0	76.0	31.0	23284900.0	23186250.0	23096944.0	22466875.0	174.64	268.6	75.4	91.51	13.466425	-16.672096
PA0032-C	1006	The Gambia	GM_Coastal	ERS010130			5133921448.0	4186748420.0	230558996.0	76.0	30.4	23051822.0	22789815.0	22410809.0	18267050.0	178.92	256.0	80.4	90.24	13.466425	-16.672096
PA0034-C	1006	The Gambia	GM_Coastal	ERS010117			2903146496.0	1874330772.0	152364876.0	76.0	31.7	22981384.0	22447706.0	21463039.0	14414235.0	81.03	231.0	78.2	88.87	13.466425	-16.672096
PA0035-C	1006	The Gambia	GM_Coastal	ERS010039			9612524992.0	8810068124.0	509496628.0	76.0	30.9	23042603.0	22898212.0	22830179.0	22557135.0	378.36	266.4	42.1	91.09	13.466425	-16.672096
PA0036-C	1006	The Gambia	GM_Coastal	ERS010040			3223462632.0	2988809440.0	85025760.0	76.0	33.4	23026663.0	22855020.0	22755287.0	21755730.0	129.26	249.8	39.1	90.79	13.466425	-16.672096
PA0037-C	1006	The Gambia	GM_Coastal	ERS010041			4727215808.0	4254050524.0	197846620.0	76.0	30.4	23028022.0	22865114.0	22777163.0	22146660.0	183.66	264.0	37.8	90.78	13.466425	-16.672096
PA0038-C	1006	The Gambia	GM_Coastal	ERS009729			4553970008.0	4248333196.0	104626996.0	76.0	31.9	23074170.0	22896562.0	22793454.0	22091767.0	182.9	301.3	75.4	90.78	13.466425	-16.672096
PA0039-C	1006	The Gambia	GM_Coastal	ERS009966			4119193160.0	3698598140.0	182240628.0	76.0	31.1	23153668.0	22913890.0	22532101.0	17529562.0	155.95	226.9	74.2	90.37	13.466425	-16.672096
PA0040-C	1006	The Gambia	GM_Coastal	ERS010118			2318744648.0	2076954372.0	240834348.0	76.0	33.3	23017375.0	22568137.0	21496248.0	12665334.0	87.32	305.5	59.1	88.98	13.466425	-16.672096
PA0041-C	1006	The Gambia	GM_Coastal	ERS010119			4733470912.0	3466345180.0	219728616.0	76.0	30.2	23091315.0	22610289.0	21750294.0	16027109.0	147.65	238.3	76.5	89.28	13.466425	-16.672096
PA0042-C	1006	The Gambia	GM_Coastal	ERS010120			4410440208.0	3374279540.0	234456580.0	76.0	31.0	23036651.0	22657231.0	22009834.0	16584365.0	143.62	239.0	79.8	89.65	13.466425	-16.672096
